episode,initial_cost,final_cost,cost_delta,terminal_reward,last_rollout_reward,reward_sum,best_cost,invalid,num_macros,steps,episode_runtime_sec,invalid_action,initial_wirelength_cost,initial_density_cost,initial_congestion_cost,final_wirelength_cost,final_density_cost,final_congestion_cost,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction
0,0.6879115033375915,0.8599751236649185,-0.17206362032732692,-0.8599751236649185,-0.8599750995635986,-0.8599750995635986,0.8599751236649185,False,50,50,35.65949042400098,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.23743128940269684,0.4967409934135561,0.748346675110887,-0.04694416882004589,-0.01068292260169983,0.03897146145937864,5.574697718620301,0.0014515018463134766,0.0075
1,0.6879115033375915,0.8816707852802037,-0.19375928194261216,-0.8816707852802037,-0.8816707730293274,-0.8816707730293274,0.8599751236649185,False,50,50,35.5401371759981,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2615281400288387,0.49809573530026,0.7421895552024701,-0.04694416882004589,-0.01068292260169983,0.03897146145937864,5.574697718620301,0.0014515018463134766,0.0075
2,0.6879115033375915,0.861821321120161,-0.17390981778256942,-0.861821321120161,-0.8618212938308716,-0.8618212938308716,0.8599751236649185,False,50,50,37.069911162998324,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.23502701331396433,0.5038561736218495,0.7497324419905438,-0.04694416882004589,-0.01068292260169983,0.03897146145937864,5.574697718620301,0.0014515018463134766,0.0075
3,0.6879115033375915,0.8597491729007967,-0.17183766956320512,-0.8597491729007967,-0.8597491979598999,-0.8597491979598999,0.8597491729007967,False,50,50,36.82140887100104,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2439098324706896,0.49561305354509105,0.7360656273151231,-0.04694416882004589,-0.01068292260169983,0.03897146145937864,5.574697718620301,0.0014515018463134766,0.0075
4,0.6879115033375915,0.8669513908277361,-0.17903988749014454,-0.8669513908277361,-0.8669514060020447,-0.8669514060020447,0.8597491729007967,False,50,50,33.54532714400193,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24901124858672585,0.49594778671228545,0.739932497769735,-0.06731737624388189,-0.02002125020342646,0.016905564240200715,5.574891267418861,-0.003664925694465637,0.0225
5,0.6879115033375915,0.8630306628736252,-0.17511915953603363,-0.8630306628736252,-0.8630306720733643,-0.8630306720733643,0.8597491729007967,False,50,50,33.65523764300087,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24941164354819845,0.49227604603629527,0.7349619926145582,-0.06731737624388189,-0.02002125020342646,0.016905564240200715,5.574891267418861,-0.003664925694465637,0.0225
6,0.6879115033375915,0.8477212880430923,-0.15980978470550078,-0.8477212880430923,-0.84772127866745,-0.84772127866745,0.8477212880430923,False,50,50,34.63158561800083,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.23900399121926633,0.48951760750512285,0.7279169861425292,-0.06731737624388189,-0.02002125020342646,0.016905564240200715,5.574891267418861,-0.003664925694465637,0.0225
7,0.6879115033375915,0.8820763972250538,-0.19416489388746228,-0.8820763972250538,-0.8820763826370239,-0.8820763826370239,0.8477212880430923,False,50,50,31.42667309299941,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2572247131463168,0.5027756519473137,0.7469277162101605,-0.06731737624388189,-0.02002125020342646,0.016905564240200715,5.574891267418861,-0.003664925694465637,0.0225
8,0.6879115033375915,0.8713312214924129,-0.1834197181548214,-0.8713312214924129,-0.8713312149047852,-0.8713312149047852,0.8477212880430923,False,50,50,32.58586739200109,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.25499350489166983,0.49538999911205406,0.737285434089432,-0.08287110721925274,-0.030190240951487795,0.005194046584531282,5.527789114117622,-0.0018723630905151368,0.095
9,0.6879115033375915,0.8635823190539027,-0.17567081571631116,-0.8635823190539027,-0.8635823130607605,-0.8635823130607605,0.8477212880430923,False,50,50,40.096925923000526,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24848283524808074,0.4944154724756117,0.7357834951360321,-0.08287110721925274,-0.030190240951487795,0.005194046584531282,5.527789114117622,-0.0018723630905151368,0.095
